,precision,recall,f1-score,support
0,0.8848920863309353,0.8561484918793504,0.8702830188679246,431.0
1,0.8984198645598194,0.9234338747099768,0.9107551487414187,431.0
2,0.8463414634146341,0.8051044083526682,0.8252080856123661,431.0
3,0.8764302059496567,0.888631090487239,0.8824884792626728,431.0
4,0.9521640091116174,0.9675925925925926,0.9598163030998851,432.0
5,0.8776978417266187,0.8491879350348028,0.8632075471698112,431.0
6,0.7562642369020501,0.7685185185185185,0.7623421354764638,432.0
7,0.7387387387387387,0.7592592592592593,0.7488584474885844,432.0
8,0.6714975845410628,0.6450116009280742,0.6579881656804734,431.0
9,0.7019867549668874,0.7378190255220418,0.7194570135746606,431.0
accuracy,0.8200788314398331,0.8200788314398331,0.8200788314398331,0.8200788314398331
macro avg,0.8204432786242022,0.8200706797284523,0.8200404344974261,4313.0
weighted avg,0.8204399948655374,0.8200788314398331,0.8200429607164321,4313.0
