,precision,recall,f1-score,support
0,0.9038461538461539,0.8723897911832946,0.8878394332939787,431.0
1,0.8872017353579176,0.9489559164733179,0.9170403587443946,431.0
2,0.9278350515463918,0.8352668213457076,0.8791208791208792,431.0
3,0.9330254041570438,0.9373549883990719,0.9351851851851852,431.0
4,0.9701834862385321,0.9791666666666666,0.9746543778801843,432.0
5,0.95,0.8816705336426914,0.914560770156438,431.0
6,0.7945205479452054,0.8055555555555556,0.8,432.0
7,0.8502415458937198,0.8148148148148148,0.8321513002364066,432.0
8,0.7357630979498861,0.7494199535962877,0.742528735632184,431.0
9,0.7397540983606558,0.8375870069605569,0.7856365614798695,431.0
accuracy,0.8662184094597728,0.8662184094597728,0.8662184094597728,0.8662184094597728
macro avg,0.8692371121295505,0.8662182048637966,0.8668717601729521,4313.0
weighted avg,0.8692387894408627,0.8662184094597728,0.8668731954610572,4313.0
