,precision,recall,f1-score,support
0,0.8983050847457628,0.8607888631090487,0.8791469194312795,431.0
1,0.8635394456289979,0.9396751740139211,0.9,431.0
2,0.9066339066339066,0.8561484918793504,0.8806682577565632,431.0
3,0.9566265060240964,0.9211136890951276,0.9385342789598108,431.0
4,0.9659863945578231,0.9861111111111112,0.9759450171821307,432.0
5,0.9432098765432099,0.8863109048723898,0.9138755980861244,431.0
6,0.8013100436681223,0.8495370370370371,0.8247191011235956,432.0
7,0.8717339667458432,0.8495370370370371,0.8604923798358733,432.0
8,0.7718446601941747,0.7378190255220418,0.7544483985765125,431.0
9,0.7648305084745762,0.8375870069605569,0.7995570321151716,431.0
accuracy,0.8724785532112219,0.8724785532112219,0.8724785532112219,0.8724785532112219
macro avg,0.8744020393216513,0.8724628340637622,0.8727386983067061,4313.0
weighted avg,0.8744057082961486,0.8724785532112219,0.8727486543473325,4313.0
