,precision,recall,f1-score,support
0,0.903448275862069,0.9118329466357309,0.9076212471131639,431.0
1,0.9372093023255814,0.9350348027842227,0.9361207897793262,431.0
2,0.9078014184397163,0.8909512761020881,0.8992974238875878,431.0
3,0.9465116279069767,0.9443155452436195,0.9454123112659697,431.0
4,0.986046511627907,0.9814814814814815,0.9837587006960558,432.0
5,0.946078431372549,0.8955916473317865,0.9201430274135876,431.0
6,0.8038793103448276,0.8634259259259259,0.8325892857142858,432.0
7,0.8969072164948454,0.8055555555555556,0.848780487804878,432.0
8,0.80622009569378,0.7819025522041764,0.7938751472320377,431.0
9,0.757700205338809,0.8561484918793504,0.803921568627451,431.0
accuracy,0.8866218409459773,0.8866218409459773,0.8866218409459773,0.8866218409459773
macro avg,0.8891802395407062,0.8866240225143939,0.8871519989534346,4313.0
weighted avg,0.8891847126035037,0.8866218409459773,0.8871528504436625,4313.0
