,precision,recall,f1-score,support
0,0.9007263922518159,0.8631090487238979,0.881516587677725,431.0
1,0.9119638826185101,0.9373549883990719,0.9244851258581235,431.0
2,0.8813953488372093,0.8793503480278422,0.8803716608594657,431.0
3,0.9542168674698795,0.9187935034802784,0.9361702127659575,431.0
4,0.9768518518518519,0.9768518518518519,0.9768518518518519,432.0
5,0.9322033898305084,0.8932714617169374,0.9123222748815167,431.0
6,0.8094170403587444,0.8356481481481481,0.8223234624145785,432.0
7,0.887468030690537,0.8032407407407407,0.8432563791008504,432.0
8,0.7528604118993135,0.7633410672853829,0.7580645161290323,431.0
9,0.7342799188640974,0.839907192575406,0.7835497835497836,431.0
accuracy,0.8710874101553443,0.8710874101553443,0.8710874101553443,0.8710874101553443
macro avg,0.8741383134672466,0.8710868350949557,0.8718911855088886,4313.0
weighted avg,0.8741502128371749,0.8710874101553443,0.8718973895749308,4313.0
