,precision,recall,f1-score,support
0,0.8638392857142857,0.8979118329466357,0.8805460750853242,431.0
1,0.9267139479905437,0.9095127610208816,0.9180327868852458,431.0
2,0.9270833333333334,0.8259860788863109,0.8736196319018406,431.0
3,0.9534313725490197,0.9025522041763341,0.9272943980929678,431.0
4,0.9835294117647059,0.9675925925925926,0.9754959159859977,432.0
5,0.9296116504854369,0.888631090487239,0.9086595492289443,431.0
6,0.8345679012345679,0.7824074074074074,0.8076463560334528,432.0
7,0.8057395143487859,0.8449074074074074,0.824858757062147,432.0
8,0.7354368932038835,0.703016241299304,0.7188612099644128,431.0
9,0.6832412523020258,0.8607888631090487,0.7618069815195072,431.0
accuracy,0.8583352654764665,0.8583352654764665,0.8583352654764665,0.8583352654764665
macro avg,0.8643194562926588,0.8583306479333161,0.859682166175984,4313.0
weighted avg,0.8643266156848384,0.8583352654764665,0.85968887949167,4313.0
