user_img_id,img_path,bbox_x,bbox_y,bbox_w,bbox_h,product_id
0,queries/magnetic-powerful-platypus-of-hail.jpeg,0,212,740,664,5013
1,queries/free-keen-mole-of-cookies.jpeg,0,43,714,378,3550
2,queries/hilarious-precious-parakeet-of-advertising.jpeg,240,310,395,405,71
3,queries/optimal-uptight-ringtail-of-cleaning.jpeg,0,242,475,627,3566
4,queries/nonchalant-impala-of-fabulous-artistry.jpeg,350,125,150,81,5329
5,queries/enthusiastic-rational-firefly-of-memory.jpeg,194,0,618,438,3538
6,queries/copper-hare-of-majestic-democracy.jpeg,97,0,650,467,3488
7,queries/neon-wonderful-swine-of-fame.jpeg,15,355,700,322,3557
8,queries/statuesque-aloof-wolf-of-awe.jpeg,173,95,536,673,5191
9,queries/woodoo-quaint-bear-of-infinity.jpeg,20,485,572,219,3528
10,queries/eager-pink-raven-of-agility.jpeg,125,467,300,422,5008
11,queries/singing-cerise-kestrel-of-wizardry.jpeg,62,125,427,862,3577
12,queries/rainbow-brawny-degu-of-maturity.jpeg,170,43,449,658,5143
13,queries/logical-infrared-vulture-of-economy.jpeg,166,186,495,495,18
14,queries/zealous-impetuous-mandrill-of-upgrade.jpg,266,3,259,237,5338
15,queries/impetuous-almond-tuna-of-priority.jpeg,54,1,917,704,5080
16,queries/wise-lavender-fox-of-shopping.jpeg,132,59,235,727,5038
17,queries/strong-judicious-frigatebird-of-memory.jpeg,0,415,750,420,5237
18,queries/overjoyed-neon-leopard-of-bliss.jpeg,90,195,570,685,5102
19,queries/dark-macaque-of-pleasurable-success.jpg,0,505,547,336,3588
20,queries/brave-curious-porcupine-of-judgment.jpg,2,275,522,297,3582
21,queries/cordial-spectacular-oarfish-of-fortitude.jpeg,234,202,429,421,72
22,queries/wild-sapphire-flamingo-of-excitement.jpeg,50,330,582,220,3692
23,queries/upbeat-gay-okapi-of-aptitude.jpg,115,419,447,580,3663
24,queries/savvy-ermine-of-majestic-piety.jpeg,0,269,603,485,3645
